,name,industry,key_process,product_solution
8408,bonatti s.p.a.,oil & energy,Transactions,SG Global Cash
8427,bmw brilliance automotive,automotive,Transactions,SG Global Cash
8448,bcc,information technology and services,Transactions,SG Global Cash
8452,trt,information technology and services,Transactions,SG Global Cash
8454,freudenberg sealing technologies,automotive,Transactions,SG Global Cash
8461,qquality linen  and supplies,information technology and services,Transactions,SG Global Cash
8466,sqli,information technology and services,Transactions,SG Global Cash
8469,go-jek,information technology and services,Transactions,SG Global Cash
8490,pgi,information technology and services,Transactions,SG Global Cash
8495,chinasoft international,information technology and services,Transactions,SG Global Cash
8507,isban,information technology and services,Transactions,SG Global Cash
8508,pt. rekayasa industri,oil & energy,Transactions,SG Global Cash
8527,lg electronics india pvt ltd,consumer goods,Transactions,SG Global Cash
8543,oshkosh corporation,automotive,Transactions,SG Global Cash
8545,unichem laboratories limited,pharmaceuticals,Transactions,SG Global Cash
8547,altair,information technology and services,Transactions,SG Global Cash
8554,webasto,automotive,Transactions,SG Global Cash
8565,petro rabigh,oil & energy,Transactions,SG Global Cash
8588,pt indofood sukses makmur tbk,consumer goods,Transactions,SG Global Cash
8604,stedin,oil & energy,Transactions,SG Global Cash
8607,grendene s/a,consumer goods,Transactions,SG Global Cash
8610,nutricia medical nutrition,pharmaceuticals,Transactions,SG Global Cash
8629,"keurig green mountain, inc.",consumer goods,Transactions,SG Global Cash
8633,itaipu binacional,oil & energy,Transactions,SG Global Cash
8638,kpo,oil & energy,Transactions,SG Global Cash
8639,proton,automotive,Transactions,SG Global Cash
8640,enermech,oil & energy,Transactions,SG Global Cash
8647,universal robina corporation,consumer goods,Transactions,SG Global Cash
8652,idom,oil & energy,Transactions,SG Global Cash
8661,daymon worldwide,consumer goods,Transactions,SG Global Cash
8664,abdi ibrahim pharmaceuticals,pharmaceuticals,Transactions,SG Global Cash
8670,vivo energy (shell licensee in africa),oil & energy,Transactions,SG Global Cash
8675,quess corp limited,information technology and services,Transactions,SG Global Cash
8681,čez,oil & energy,Transactions,SG Global Cash
8708,fresher,information technology and services,Transactions,SG Global Cash
8711,confidential (in stealth mode),information technology and services,Transactions,SG Global Cash
8715,pluspetrol,oil & energy,Transactions,SG Global Cash
8721,koch industries,oil & energy,Transactions,SG Global Cash
8723,oil search limited,oil & energy,Transactions,SG Global Cash
8726,interglobe technologies,information technology and services,Transactions,SG Global Cash
8737,valvoline,automotive,Transactions,SG Global Cash
8739,lexus,automotive,Transactions,SG Global Cash
8746,mtd products,consumer goods,Transactions,SG Global Cash
8755,pearson vue,information technology and services,Transactions,SG Global Cash
8759,marico limited,consumer goods,Transactions,SG Global Cash
8762,grünenthal group,pharmaceuticals,Transactions,SG Global Cash
8782,archer - the well company,oil & energy,Transactions,SG Global Cash
8816,sii poland,information technology and services,Transactions,SG Global Cash
8817,ansell,consumer goods,Transactions,SG Global Cash
8819,"crocs, inc",consumer goods,Transactions,SG Global Cash
8830,kia motors america,automotive,Transactions,SG Global Cash
8831,libbs farmacêutica,pharmaceuticals,Transactions,SG Global Cash
8845,bsh home appliances group,consumer goods,Transactions,SG Global Cash
8861,applus rtd,oil & energy,Transactions,SG Global Cash
8868,dodsal e & c pte ltd,oil & energy,Transactions,SG Global Cash
8869,sargent & lundy,oil & energy,Transactions,SG Global Cash
8877,particular sciences,pharmaceuticals,Transactions,SG Global Cash
8922,statkraft,oil & energy,Transactions,SG Global Cash
8923,ministerio de educacion de la republica dominican,information technology and services,Transactions,SG Global Cash
8937,pcs technology ltd.,information technology and services,Transactions,SG Global Cash
8938,nucleus software,information technology and services,Transactions,SG Global Cash
8941,rowan companies,oil & energy,Transactions,SG Global Cash
8973,delta technology,information technology and services,Transactions,SG Global Cash
9016,pepperidge farm,consumer goods,Transactions,SG Global Cash
9020,ibs software services,information technology and services,Transactions,SG Global Cash
9024,keyrus,information technology and services,Transactions,SG Global Cash
9031,lachat consulting,information technology and services,Transactions,SG Global Cash
9032,mercury marine,consumer goods,Transactions,SG Global Cash
9034,southwestern energy,oil & energy,Transactions,SG Global Cash
9037,national drilling company,oil & energy,Transactions,SG Global Cash
9040,bristlecone,information technology and services,Transactions,SG Global Cash
9041,einfochips,information technology and services,Transactions,SG Lyxor AP
9051,kpm,information technology and services,Transactions,SG Lyxor AP
9059,computer task group,information technology and services,Transactions,SG Lyxor AP
9065,enerjisa,oil & energy,Transactions,SG Lyxor AP
9075,mclaren automotive ltd,automotive,Transactions,SG Lyxor AP
9084,eqt corporation,oil & energy,Transactions,SG Lyxor AP
9089,it convergence,information technology and services,Transactions,SG Lyxor AP
9093,cooper tire & rubber company,automotive,Transactions,SG Lyxor AP
9097,ibm deutschland gmbh,information technology and services,Transactions,SG Lyxor AP
9100,britvic soft drinks,consumer goods,Transactions,SG Global Cash
9103,north caspian operating company n.v. (ncoc n.v.),oil & energy,Transactions,SG Global Cash
9116,brembo s.p.a.,automotive,Transactions,SG Global Cash
9123,bumi armada,oil & energy,Transactions,SG Global Cash
9127,gentex corporation,automotive,Transactions,SG Global Cash
9132,clearesult,oil & energy,Transactions,SG Global Cash
9137,toyota motor manufacturing canada,automotive,Transactions,SG Global Cash
9139,hayat kimya,consumer goods,Transactions,SG Lyxor AP
9165,ari,automotive,Transactions,SG Lyxor AP
9166,queiroz galvão óleo e gás s.a.,oil & energy,Transactions,SG Lyxor AP
9167,--undisclosed--,information technology and services,Transactions,SG Lyxor AP
9172,avis,automotive,Transactions,SG Lyxor AP
9175,mercedes-benz uk ltd,automotive,Transactions,SG Global Cash
9195,rac,automotive,Transactions,SG Global Cash
9197,pisa farmacéutica,pharmaceuticals,Transactions,SG Global Cash
9209,pgs,oil & energy,Transactions,SG Global Cash
9210,pakistan petroleum limited,oil & energy,Transactions,SG Global Cash
9221,allianz technology,information technology and services,Transactions,SG Global Cash
9235,mahindra,automotive,Transactions,SG Global Cash
9252,drivetime,automotive,Transactions,SG Lyxor AP
9258,the aa,automotive,Transactions,SG Lyxor AP
9263,"s & b engineers and constructors, ltd.",oil & energy,Transactions,SG Lyxor AP
9288,"united laboratories, inc.",pharmaceuticals,Transactions,SG Lyxor AP
9289,civica,information technology and services,Transactions,SG Global Cash
9295,sopra banking software,information technology and services,Transactions,SG Global Cash
9336,en recherche d'emploi,information technology and services,Transactions,SG Global Cash
9342,web development web designing seo management graphic designing,information technology and services,Transactions,SG Global Cash
9363,cigniti technologies,information technology and services,Transactions,SG Global Cash
9368,bosch china,automotive,Transactions,SG Global Cash
9372,mars petcare,consumer goods,Transactions,SG Global Cash
9374,fujitsu australia limited,information technology and services,Transactions,SG Global Cash
9383,aspire systems,information technology and services,Transactions,SG Global Cash
9396,cegeka,information technology and services,Transactions,SG Global Cash
9419,petrosa,oil & energy,Transactions,SG Global Cash
9420,allseas,oil & energy,Transactions,SG Global Cash
9428,irving oil,oil & energy,Transactions,SG Global Cash
9450,lupin pharmaceuticals,pharmaceuticals,Transactions,SG Global Cash
9455,lantmännen,consumer goods,Transactions,SG Global Cash
9457,emami ltd,consumer goods,Transactions,SG Global Cash
9461,indoco remedies ltd,pharmaceuticals,Transactions,SG Global Cash
9465,lamprell,oil & energy,Transactions,SG Global Cash
9479,enbridge pipelines,oil & energy,Transactions,SG Global Cash
9483,petron corporation,oil & energy,Transactions,SG Global Cash
9484,dps,information technology and services,Transactions,SG Global Cash
9486,truven health analytics,information technology and services,Transactions,SG Global Cash
9489,dekra,automotive,Transactions,SG Global Cash
9521,"zones, inc.",information technology and services,Transactions,SG Global Cash
9539,bosch india,automotive,Transactions,SG Global Cash
9544,talisman energy,oil & energy,Transactions,SG Global Cash
9554,flex-n-gate,automotive,Transactions,SG Global Cash
9569,seidor,information technology and services,Transactions,SG Global Cash
9583,porsche cars north america,automotive,Transactions,SG Global Cash
9608,tennet,oil & energy,Transactions,SG Global Cash
9613,exide industries limited,automotive,Transactions,SG Global Cash
9635,gbm,information technology and services,Transactions,SG Global Cash
9637,usv limited,pharmaceuticals,Transactions,SG Global Cash
9641,inovalon,information technology and services,Transactions,SG Global Cash
9646,panacea biotec ltd,pharmaceuticals,Transactions,SG Global Cash
9655,ariston thermo group,consumer goods,Transactions,SG Global Cash
9657,prodam,information technology and services,Transactions,SG Global Cash
9662,publicis.sapient,information technology and services,Transactions,SG Global Cash
9675,fieldcore,oil & energy,Transactions,SG Global Cash
9685,arcelik group,consumer goods,Transactions,SG Global Cash
9694,nbty,consumer goods,Transactions,SG Global Cash
9695,federal-mogul motorparts,automotive,Transactions,SG Global Cash
9697,zuellig pharma,pharmaceuticals,Transactions,SG Global Cash
9700,bw offshore,oil & energy,Transactions,SG Global Cash
9714,sanquin,pharmaceuticals,Transactions,SG Global Cash
9723,daimler tss,information technology and services,Transactions,SG Global Cash
9725,euromaster,automotive,Transactions,SG Global Cash
9726,itelligence,information technology and services,Transactions,SG Global Cash
9732,autoneum holding ag,automotive,Transactions,SG Global Cash
9749,pro unlimited,information technology and services,Transactions,SG Global Cash
9750,aec contact center,information technology and services,Transactions,SG Global Cash
9759,colombian ministry of national education,information technology and services,Transactions,SG Global Cash
9781,garage,automotive,Transactions,SG Global Cash
9784,robert bosch gmbh,automotive,Transactions,SG Global Cash
9792,arcelik group,consumer goods,Transactions,SG Global Cash
9795,allison transmission,automotive,Transactions,SG Global Cash
9796,dataprev,information technology and services,Transactions,SG Global Cash
9798,galp energia,oil & energy,Transactions,SG Global Cash
9828,almaviva do brasil,information technology and services,Transactions,SG Global Cash
9829,minsait,information technology and services,Transactions,SG Global Cash
